trip_id,route_id,direction_id,stop_id,stop_sequence,vehicle_id,arrival_delay,departure_delay,timestamp,delayed
14672442,6612,0,73,24,8154,-122.0,-122.0,1759680527.0,0
14672442,6612,0,75,25,8154,-78.0,-78.0,1759680617.0,0
14672442,6612,0,11881,26,8154,-57.0,-57.0,1759680690.0,0
14672442,6612,0,12603,27,8154,-52.0,-52.0,1759680739.0,0
14672442,6612,0,30,28,8154,-25.0,-25.0,1759680800.0,0
14672442,6612,0,31,29,8154,6.0,6.0,1759680861.0,1
14672443,6612,0,61,16,8132,-263.0,-263.0,1759680490.0,0
14672443,6612,0,63,17,8132,-248.0,-248.0,1759680564.0,0
14672443,6612,0,64,18,8132,-256.0,-256.0,1759680583.0,0
14672443,6612,0,12040,19,8132,-278.0,-278.0,1759680642.0,0
14672443,6612,0,10542,20,8132,-293.0,-293.0,1759680687.0,0
14672443,6612,0,69,21,8132,-293.0,-293.0,1759680750.0,0
14672443,6612,0,70,22,8132,-280.0,-280.0,1759680793.0,0
14672443,6612,0,72,23,8132,-273.0,-273.0,1759680864.0,0
14672443,6612,0,73,24,8132,-333.0,-333.0,1759681036.0,0
14672443,6612,0,75,25,8132,-289.0,-289.0,1759681126.0,0
14672443,6612,0,11881,26,8132,-268.0,-268.0,1759681199.0,0
14672443,6612,0,12603,27,8132,-263.0,-263.0,1759681248.0,0
14672443,6612,0,30,28,8132,-235.0,-235.0,1759681310.0,0
14672443,6612,0,31,29,8132,-203.0,-203.0,1759681372.0,0
14672531,6612,1,122,22,8155,1038.0,1038.0,1759680483.0,1
14672531,6612,1,124,23,8155,1021.0,1021.0,1759680529.0,1
14672531,6612,1,126,24,8155,992.0,992.0,1759680574.0,1
14672531,6612,1,128,25,8155,974.0,974.0,1759680626.0,1
14672531,6612,1,130,26,8155,942.0,942.0,1759680662.0,1
14672531,6612,1,296,27,8155,938.0,938.0,1759680729.0,1
14672531,6612,1,12671,28,8155,929.0,929.0,1759680761.0,1
14672531,6612,1,299,29,8155,907.0,907.0,1759680799.0,1
14672531,6612,1,300,30,8155,890.0,890.0,1759680824.0,1
14672532,6612,1,128,25,21015,96.0,96.0,1759680468.0,1
14672532,6612,1,130,26,21015,64.0,64.0,1759680504.0,1
14672532,6612,1,296,27,21015,60.0,60.0,1759680571.0,1
14672532,6612,1,12671,28,21015,51.0,51.0,1759680603.0,1
14672532,6612,1,299,29,21015,29.0,29.0,1759680641.0,1
14672532,6612,1,300,30,21015,12.0,12.0,1759680666.0,1
14672533,6612,1,101,7,8137,355.0,355.0,1759680599.0,1
14672533,6612,1,103,8,8137,352.0,352.0,1759680657.0,1
14672533,6612,1,104,9,8137,359.0,359.0,1759680696.0,1
14672533,6612,1,105,10,8137,349.0,349.0,1759680749.0,1
14672533,6612,1,106,11,8137,322.0,322.0,1759680780.0,1
14672533,6612,1,107,12,8137,303.0,303.0,1759680828.0,1
14672533,6612,1,1379,13,8137,317.0,317.0,1759680894.0,1
14672533,6612,1,109,14,8137,305.0,305.0,1759680917.0,1
14672533,6612,1,110,15,8137,327.0,327.0,1759680978.0,1
14672533,6612,1,111,16,8137,311.0,311.0,1759681009.0,1
14672533,6612,1,112,17,8137,295.0,295.0,1759681026.0,1
14672533,6612,1,12958,18,8137,292.0,292.0,1759681066.0,1
14672533,6612,1,115,19,8137,282.0,282.0,1759681092.0,1
14672533,6612,1,116,20,8137,258.0,258.0,1759681118.0,1
14672534,6612,1,8535,2,21006,-88.0,-88.0,1759680473.0,0
14672534,6612,1,45,3,21006,-58.0,-58.0,1759680564.0,0
14672534,6612,1,46,4,21006,-43.0,-43.0,1759680607.0,0
14672534,6612,1,47,5,21006,-8.0,-8.0,1759680672.0,0
14672534,6612,1,98,6,21006,28.0,28.0,1759680765.0,1
14672534,6612,1,101,7,21006,-30.0,-30.0,1759680991.0,0
14672534,6612,1,103,8,21006,-32.0,-32.0,1759681050.0,0
14672534,6612,1,104,9,21006,-26.0,-26.0,1759681088.0,0
14672534,6612,1,105,10,21006,-33.0,-33.0,1759681143.0,0
14672534,6612,1,106,11,21006,-60.0,-60.0,1759681174.0,0
14672534,6612,1,107,12,21006,-77.0,-77.0,1759681223.0,0
14672534,6612,1,1379,13,21006,-61.0,-61.0,1759681291.0,0
14672534,6612,1,109,14,21006,-73.0,-73.0,1759681313.0,0
14672534,6612,1,110,15,21006,-51.0,-51.0,1759681373.0,0
14672534,6612,1,111,16,21006,-67.0,-67.0,1759681404.0,0
14672534,6612,1,112,17,21006,-82.0,-82.0,1759681421.0,0
14672534,6612,1,12958,18,21006,-84.0,-84.0,1759681461.0,0
14672534,6612,1,113,19,21006,-79.0,-79.0,1759681479.0,0
14672534,6612,1,119,20,21006,-117.0,-117.0,1759681519.0,0
14672534,6612,1,121,21,21006,-151.0,-151.0,1759681553.0,0
14672534,6612,1,122,22,21006,-153.0,-153.0,1759681590.0,0
14672534,6612,1,124,23,21006,-173.0,-173.0,1759681637.0,0
14672534,6612,1,126,24,21006,-208.0,-208.0,1759681682.0,0
14672534,6612,1,128,25,21006,-231.0,-231.0,1759681734.0,0
14672534,6612,1,130,26,21006,-269.0,-269.0,1759681769.0,0
14672534,6612,1,296,27,21006,-277.0,-277.0,1759681837.0,0
14672534,6612,1,12671,28,21006,-288.0,-288.0,1759681870.0,0
14672534,6612,1,299,29,21006,-314.0,-314.0,1759681909.0,0
14672534,6612,1,300,30,21006,-333.0,-333.0,1759681935.0,0
14672958,6613,0,3428,34,2572,300.0,300.0,1759680477.0,1
14672958,6613,0,186,35,2572,292.0,292.0,1759680579.0,1
14672958,6613,0,3429,36,2572,281.0,281.0,1759680628.0,1
14672958,6613,0,188,37,2572,273.0,273.0,1759680679.0,1
14672958,6613,0,859,38,2572,286.0,286.0,1759680754.0,1
14673012,6613,0,146,6,2540,-2.0,-2.0,1759680494.0,0
14673012,6613,0,147,7,2540,8.0,8.0,1759680540.0,1
14673012,6613,0,10617,8,2540,-1.0,-1.0,1759680583.0,0
14673012,6613,0,150,9,2540,-11.0,-11.0,1759680620.0,0
14673012,6613,0,151,10,2540,11.0,11.0,1759680690.0,1
14673012,6613,0,152,11,2540,-3.0,-3.0,1759680732.0,0
14673012,6613,0,154,12,2540,-22.0,-22.0,1759680769.0,0
14673012,6613,0,155,13,2540,2.0,2.0,1759680842.0,1
14673012,6613,0,162,14,2540,-18.0,-18.0,1759680877.0,0
14673012,6613,0,163,15,2540,-32.0,-32.0,1759680918.0,0
14673012,6613,0,165,16,2540,-49.0,-49.0,1759680980.0,0
14673012,6613,0,166,17,2540,-56.0,-56.0,1759681027.0,0
14673012,6613,0,167,18,2540,-60.0,-60.0,1759681080.0,0
14673012,6613,0,169,19,2540,-59.0,-59.0,1759681155.0,0
14673012,6613,0,10611,20,2540,-78.0,-78.0,1759681193.0,0
14673012,6613,0,170,21,2540,-88.0,-88.0,1759681225.0,0
14673012,6613,0,171,22,2540,-93.0,-93.0,1759681262.0,0
14673012,6613,0,10816,23,2540,-89.0,-89.0,1759681313.0,0
14673012,6613,0,173,24,2540,-80.0,-80.0,1759681366.0,0
14673012,6613,0,174,25,2540,-55.0,-55.0,1759681433.0,0
14673012,6613,0,176,26,2540,0.0,0.0,1759681560.0,0
14673012,6613,0,177,27,2540,-17.0,-17.0,1759681619.0,0
14673012,6613,0,178,28,2540,-36.0,-36.0,1759681650.0,0
14673012,6613,0,13090,29,2540,-83.0,-83.0,1759681674.0,0
14673012,6613,0,180,30,2540,-123.0,-123.0,1759681712.0,0
14673012,6613,0,181,31,2540,-136.0,-136.0,1759681794.0,0
14673012,6613,0,182,32,2540,-166.0,-166.0,1759681834.0,0
14673012,6613,0,184,33,2540,-182.0,-182.0,1759681951.0,0
14673012,6613,0,3428,34,2540,-156.0,-156.0,1759682079.0,0
14673012,6613,0,186,35,2540,-174.0,-174.0,1759682185.0,0
14673012,6613,0,3429,36,2540,-191.0,-191.0,1759682235.0,0
14673012,6613,0,188,37,2540,-206.0,-206.0,1759682286.0,0
14673012,6613,0,859,38,2540,-201.0,-201.0,1759682361.0,0
14673013,6613,0,10816,23,2527,-10.0,-10.0,1759680492.0,0
14673013,6613,0,173,24,2527,-2.0,-2.0,1759680544.0,0
14673013,6613,0,174,25,2527,23.0,23.0,1759680611.0,1
14673013,6613,0,176,26,2527,48.0,48.0,1759680708.0,1
14673013,6613,0,177,27,2527,35.0,35.0,1759680771.0,1
14673013,6613,0,178,28,2527,15.0,15.0,1759680801.0,1
14673013,6613,0,13090,29,2527,-32.0,-32.0,1759680825.0,0
14673013,6613,0,180,30,2527,-72.0,-72.0,1759680863.0,0
14673013,6613,0,181,31,2527,-85.0,-85.0,1759680945.0,0
14673013,6613,0,182,32,2527,-116.0,-116.0,1759680984.0,0
14673013,6613,0,184,33,2527,-132.0,-132.0,1759681101.0,0
14673013,6613,0,3428,34,2527,-107.0,-107.0,1759681228.0,0
14673013,6613,0,186,35,2527,-125.0,-125.0,1759681334.0,0
14673013,6613,0,3429,36,2527,-142.0,-142.0,1759681384.0,0
14673013,6613,0,188,37,2527,-157.0,-157.0,1759681435.0,0
14673013,6613,0,859,38,2527,-152.0,-152.0,1759681510.0,0
14673049,6613,1,236,9,2562,368.0,368.0,1759680486.0,1
14673049,6613,1,10814,10,2562,356.0,356.0,1759680537.0,1
14673049,6613,1,238,11,2562,318.0,318.0,1759680592.0,1
14673049,6613,1,12749,12,2562,350.0,350.0,1759680710.0,1
14673049,6613,1,242,13,2562,368.0,368.0,1759680809.0,1
14673049,6613,1,243,14,2562,376.0,376.0,1759680859.0,1
14673049,6613,1,244,15,2562,377.0,377.0,1759680903.0,1
